epoch,train_loss,val_loss
1,0.9080955438819447,3.287855222214401
2,0.6655917605102665,3.1827001927664917
3,0.5647770834768497,3.0940398522631614
4,0.5224501118817312,3.0413084693623884
5,0.5018560553942036,3.0277651904395264
6,0.49253608331583865,3.015429182020248
7,0.4878092589151231,3.0051880085090708
8,0.4842042692992965,2.992864072053141
9,0.480881618178227,2.981680802090675
10,0.47772299705698745,2.9693957950195036
11,0.47481447437648255,2.959965593135195
12,0.4721397422710082,2.9541712559725903
13,0.46948208218562343,2.9460022986204915
14,0.46724945386081634,2.939732919451338
15,0.46518314855412135,2.936174940469578
16,0.4632662972628658,2.9324826476800494
17,0.4615843301126461,2.929281820269192
18,0.4600650366948855,2.927495686177215
