timestamp,zone_id,cell_id,node_id,device_type,latency_ms,jitter_ms,packet_loss_pct,throughput_mbps,bandwidth_util_pct,cpu_pct,memory_pct,active_connections,queue_length,traffic_type,traffic_confidence,detection_method,is_peak_hour,day_of_week,hour_of_day,rssi_dbm,signal_quality_pct,channel,band_ghz,handover_event,handover_count,neighbor_count,channel_util_pct,connected_stations,tcp_retransmit_rate,mos_estimate,wifi_signal_category,wifi_signal_score,cellular_signal_category,cellular_signal_score,signal_health_overall,signal_dominant_link,signal_health_score,rsrp_dbm,rsrq_db,sinr_db,cqi,pci,cell_id_router,network_type_router,earfcn,enodeb_id,mcs,bler_proxy_pct,bler_delta,bler_trend,bler_severity,ho_status,ho_success_rate_pct,cssr_proxy_pct,latency_rolling_mean,latency_rolling_std,latency_trend,latency_volatility,jitter_rolling_mean,jitter_rolling_std,jitter_increasing,throughput_rolling_mean,throughput_rolling_std,throughput_volatility,anomaly_rate_recent,signal_degradation_rate,data_completeness_pct,required_metrics_pct,router_metrics_pct,data_quality_issues,skip_for_training,data_quality_rating,baseline_phase,hour_anomaly_rate,incident_recovery_time,collection_completion_pct,teams_in_meeting,data_source,anomaly_flag,anomaly_type,anomaly_score
2026-05-06T20:22:30.964536,Z2,C1,N1,workstation,42.0,25.333333333333332,0.0,0.0,0.0,17.7,64.1,17,21.0,browsing,0.42,process,True,Wednesday,20,,,,,False,0,0,,,-1.0,4.37,unavailable,0,unavailable,0,critical,wifi,0,,,,,,,,0,,,0.0,0.0,stable,none,none,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47.6,71.4,0.0,none,True,poor,True,0.0,-1.0,100.0,False,wifi,False,normal,0.0
2026-05-06T20:31:54.045751,Z2,C1,N1,workstation,22.75,0.6666666666666666,0.0,0.04,0.26666666666666666,29.9,66.0,18,11.387,browsing,0.43,process,True,Wednesday,20,,,,,False,0,0,,,-1.0,4.4,unavailable,0,unavailable,0,critical,wifi,0,,,,,,,,0,,,0.0,0.0,stable,none,none,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47.6,71.4,0.0,none,True,poor,True,100.0,-1.0,100.0,False,wifi,True,low_throughput,0.92
2026-05-06T20:32:14.043563,Z2,C1,N1,workstation,27.5,14.0,0.0,0.0,0.0,10.2,66.2,18,13.75,browsing,0.43,process,True,Wednesday,20,,,,,False,0,0,,,-1.0,4.39,unavailable,0,unavailable,0,critical,wifi,0,,,,,,,,0,,,0.0,0.0,stable,none,none,0.0,0.0,25.12,2.38,4.75,4.75,7.33,6.67,1,0.04,0.0,0.0,50.0,0.0,47.6,71.4,0.0,none,True,poor,True,50.0,-1.0,100.0,False,wifi,False,normal,0.0
2026-05-06T20:32:33.765295,Z2,C1,N1,workstation,22.25,0.3333333333333333,0.0,0.01,0.06666666666666667,25.3,64.2,18,11.128,browsing,0.43,process,True,Wednesday,20,,,,,False,0,0,,,-1.0,4.4,unavailable,0,unavailable,0,critical,wifi,0,,,,,,,,0,,,0.0,0.0,stable,none,none,0.0,0.0,24.17,2.37,-0.5,5.25,5.0,6.37,0,0.03,0.02,0.03,66.7,0.0,47.6,71.4,0.0,none,True,poor,True,66.7,-1.0,100.0,False,wifi,True,low_throughput,0.98
2026-05-06T20:32:53.063030,Z2,C1,N1,workstation,50.25,75.33333333333333,0.0,0.0,0.0,21.0,63.9,18,25.125,browsing,0.43,process,True,Wednesday,20,,,,,False,0,0,,,-1.0,4.31,unavailable,0,unavailable,0,critical,wifi,0,,,,,,,,0,,,0.0,0.0,stable,none,none,0.0,0.0,30.69,11.48,27.5,28.0,22.58,30.95,1,0.03,0.02,0.03,75.0,0.0,47.6,71.4,0.0,none,True,poor,True,75.0,-1.0,100.0,False,wifi,True,jitter_degradation,0.0026666666666666284
2026-05-06T20:33:12.413444,Z2,C1,N1,workstation,22.25,0.3333333333333333,0.0,3.42,22.8,42.9,63.5,18,12.151,browsing,0.43,process,True,Wednesday,20,,,,,False,0,0,,,-1.0,4.4,unavailable,0,unavailable,0,critical,wifi,0,,,,,,,,0,,,0.0,0.0,stable,none,none,0.0,0.0,29.0,10.81,-0.5,28.0,18.13,29.08,0,1.16,1.6,3.41,60.0,0.0,47.6,71.4,0.0,none,True,poor,True,60.0,-1.0,100.0,False,wifi,False,normal,0.0
2026-05-06T20:33:31.807056,Z2,C1,N1,workstation,22.5,1.3333333333333333,0.0,9.48,63.2,98.6,69.6,25,14.094,browsing,0.39,process,True,Wednesday,20,,,,,False,0,0,,,-1.0,4.4,unavailable,0,unavailable,0,critical,wifi,0,,,,,,,,0,,,0.0,0.0,stable,none,none,0.0,0.0,27.92,10.16,-0.25,28.0,15.33,27.27,1,3.24,3.86,9.47,50.0,0.0,47.6,71.4,0.0,high_cpu_usage,True,poor,True,50.0,-1.0,100.0,False,wifi,False,normal,0.0
2026-05-06T20:33:52.089951,Z2,C1,N1,workstation,25.0,2.6666666666666665,0.0,4.16,27.73333333333333,63.4,64.2,18,13.748,browsing,0.43,process,True,Wednesday,20,,,,,False,0,0,,,-1.0,4.4,unavailable,0,unavailable,0,critical,wifi,0,,,,,,,,0,,,0.0,0.0,stable,none,none,0.0,0.0,27.5,9.46,2.25,28.0,13.52,25.64,1,3.42,3.47,9.47,42.9,0.0,47.6,71.4,0.0,none,True,poor,True,42.9,-1.0,100.0,False,wifi,False,normal,0.0
2026-05-06T20:34:12.840848,Z2,C1,N1,workstation,23.25,1.6666666666666667,0.0,3.16,21.066666666666666,84.0,70.3,85,12.573,browsing,0.32,process,True,Wednesday,20,,,,,False,0,0,,,-1.0,4.4,unavailable,0,unavailable,0,critical,wifi,0,,,,,,,,0,,,0.0,0.0,stable,none,none,0.0,0.0,26.97,8.96,0.5,28.0,12.04,24.3,1,3.38,3.17,9.47,37.5,0.0,47.6,71.4,0.0,none,True,poor,True,37.5,-1.0,100.0,False,wifi,False,normal,0.0
2026-05-06T20:34:33.309713,Z2,C1,N1,workstation,23.25,2.0,0.0,0.03,0.2,91.2,76.7,25,11.634,browsing,0.39,process,True,Wednesday,20,,,,,False,0,0,,,-1.0,4.4,unavailable,0,unavailable,0,critical,wifi,0,,,,,,,,0,,,0.0,0.0,stable,none,none,0.0,0.0,26.56,8.53,0.5,28.0,10.93,23.13,1,2.9,3.16,9.47,44.4,0.0,47.6,71.4,0.0,none,True,poor,True,44.4,-1.0,100.0,False,wifi,True,low_throughput,0.94
