timestamp,zone_id,cell_id,node_id,device_type,latency_ms,jitter_ms,packet_loss_pct,throughput_mbps,bandwidth_util_pct,cpu_pct,memory_pct,active_connections,queue_length,traffic_type,traffic_confidence,detection_method,is_peak_hour,day_of_week,hour_of_day,rssi_dbm,signal_quality_pct,channel,band_ghz,handover_event,handover_count,neighbor_count,channel_util_pct,connected_stations,tcp_retransmit_rate,mos_estimate,wifi_signal_category,wifi_signal_score,cellular_signal_category,cellular_signal_score,signal_health_overall,signal_dominant_link,signal_health_score,rsrp_dbm,rsrq_db,sinr_db,cqi,pci,cell_id_router,network_type_router,earfcn,enodeb_id,mcs,bler_proxy_pct,bler_delta,bler_trend,bler_severity,ho_status,ho_success_rate_pct,cssr_proxy_pct,latency_rolling_mean,latency_rolling_std,latency_trend,latency_volatility,jitter_rolling_mean,jitter_rolling_std,jitter_increasing,throughput_rolling_mean,throughput_rolling_std,throughput_volatility,anomaly_rate_recent,signal_degradation_rate,data_completeness_pct,required_metrics_pct,router_metrics_pct,data_quality_issues,skip_for_training,data_quality_rating,baseline_phase,hour_anomaly_rate,incident_recovery_time,collection_completion_pct,data_source,anomaly_flag,anomaly_type,anomaly_score
2026-03-30T03:45:04.494754,Z1,C1,N1,workstation,38.25,6.0,0.0,0.02,0.13333333333333333,1.9,55.4,27,19.131,browsing,0.34,process,False,Monday,3,-37,88,36,5GHz,False,0,1,1,2,1.155,4.39,excellent,95,excellent,95,excellent,wifi,95,-73,-15,20.0,15,249,32CED3,4G,42690,32CE,16,1.16,0.0,stable,low,none,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,100.0,100.0,none,False,excellent,True,100.0,-1.0,100.0,wifi+router,True,low_throughput,0.96
2026-03-30T03:46:23.759154,Z1,C1,N1,workstation,190.25,107.0,0.0,0.1,0.6666666666666667,16.7,55.4,26,95.155,browsing,0.35,process,False,Monday,3,-37,80,36,5GHz,False,0,1,4,2,0.225,3.66,excellent,95,excellent,95,excellent,wifi,95,-73,-15,20.0,15,249,32CED3,4G,42690,32CE,16,0.23,-0.93,stable,none,none,0.0,100.0,114.25,76.0,152.0,152.0,56.5,50.5,1,0.06,0.04,0.08,100.0,0.0,100.0,100.0,100.0,none,False,excellent,True,100.0,-1.0,100.0,wifi+router,True,latency_degradation,0.2415
2026-03-30T03:47:08.376670,Z1,C1,N1,workstation,34.75,2.6666666666666665,0.0,3.8680269677353847,25.78684645156923,22.4,55.7,27,18.535408090320615,browsing,0.34,process,False,Monday,3,-39,88,36,5GHz,False,0,1,1,2,0.842,4.4,excellent,95,excellent,95,excellent,wifi,95,-73,-14,16.0,12,249,32CED3,4G,42690,32CE,18,0.84,0.61,stable,low,none,0.0,100.0,87.75,72.49,-3.5,155.5,38.56,48.42,0,1.33,1.8,3.85,66.7,-0.67,100.0,100.0,100.0,none,False,excellent,True,66.7,-1.0,100.0,wifi+router,False,normal,0.0
2026-03-30T03:48:17.566469,Z1,C1,N1,workstation,38.25,7.0,0.0,4.02006276012846,26.8004184008564,3.5,55.3,24,20.331018828038538,browsing,0.33,process,False,Monday,3,-39,88,36,5GHz,False,0,1,5,2,1.238,4.39,excellent,95,excellent,95,excellent,wifi,95,-73,-14,16.0,12,249,32CED3,4G,42690,32CE,18,1.24,0.4,decreasing,low,none,0.0,0.0,75.38,66.34,0.0,155.5,30.67,44.1,1,2.0,1.94,4.0,50.0,-0.5,100.0,100.0,100.0,none,False,excellent,True,50.0,-1.0,100.0,wifi+router,False,normal,0.0
2026-03-30T03:48:51.859983,Z1,C1,N1,workstation,38.5,4.333333333333333,0.0,3.9962284193377062,26.64152279558471,5.8,55.2,24,20.448868525801313,browsing,0.33,process,False,Monday,3,-41,88,36,5GHz,False,0,1,2,2,2.905,4.4,good,80,excellent,95,excellent,cellular,95,-73,-11,21.0,15,249,32CED3,4G,42690,32CE,20,2.9,1.66,increasing,medium,none,0.0,100.0,68.0,61.14,0.25,155.5,25.4,40.83,0,2.4,1.91,4.0,40.0,-0.8,100.0,100.0,100.0,none,False,excellent,True,40.0,-1.0,100.0,wifi+router,False,normal,0.0
2026-03-30T03:54:23.768844,Z1,C1,N1,workstation,54.75,44.0,0.0,5.11,34.06666666666667,2.3,61.6,28,28.908,browsing,0.34,process,False,Monday,3,-35,88,36,5GHz,False,0,1,3,2,1.155,4.35,excellent,95,excellent,95,excellent,wifi,95,-73,-12,11.0,14,249,32CED3,4G,42690,32CE,23,1.16,0.0,stable,low,none,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,100.0,100.0,none,False,excellent,True,0.0,-1.0,100.0,wifi+router,False,normal,0.0
2026-03-30T03:55:42.812819,Z1,C1,N1,workstation,39.75,7.333333333333333,0.0,3.19,21.266666666666666,11.6,61.5,31,20.832,browsing,0.35,process,False,Monday,3,-35,87,36,5GHz,False,0,3,5,2,0.278,4.39,excellent,95,excellent,95,excellent,wifi,95,-73,-12,11.0,14,249,32CED3,4G,42690,32CE,23,0.28,-0.88,stable,none,none,0.0,0.0,47.25,7.5,-15.0,15.0,25.67,18.33,0,4.15,0.96,1.92,0.0,0.0,100.0,100.0,100.0,none,False,excellent,True,0.0,-1.0,100.0,wifi+router,False,normal,0.0
2026-03-30T03:56:27.147025,Z1,C1,N1,workstation,43.0,11.333333333333334,0.0,4.035105209442088,26.900701396280592,33.3,61.3,29,22.710531562832628,browsing,0.36,process,False,Monday,3,-39,87,36,5GHz,False,0,3,5,2,1.908,4.39,excellent,95,excellent,95,excellent,wifi,95,-73,-14,19.0,13,249,32CED3,4G,42690,32CE,24,1.91,1.63,stable,low,none,0.0,0.0,45.83,6.44,-11.75,15.0,20.89,16.42,0,4.11,0.79,1.92,0.0,-1.33,100.0,100.0,100.0,none,False,excellent,True,0.0,-1.0,100.0,wifi+router,False,normal,0.0
2026-03-30T03:57:36.488790,Z1,C1,N1,workstation,76.75,58.666666666666664,0.0,3.8452842816045054,25.635228544030035,3.2,61.4,27,39.52858528448135,browsing,0.35,process,False,Monday,3,-39,79,36,5GHz,False,0,3,5,2,0.505,4.33,excellent,95,excellent,95,excellent,wifi,95,-73,-14,19.0,13,249,32CED3,4G,42690,32CE,24,0.51,-1.4,decreasing,low,none,0.0,100.0,53.56,14.5,22.0,37.0,30.33,21.68,1,4.05,0.69,1.92,0.0,-1.0,100.0,100.0,100.0,none,False,excellent,True,0.0,-1.0,100.0,wifi+router,False,normal,0.0
2026-03-30T03:58:20.776575,Z1,C1,N1,workstation,357.75,222.66666666666666,0.0,3.8452842816045054,25.635228544030035,7.1,61.7,29,180.02858528448135,browsing,0.33,process,False,Monday,3,-45,79,36,5GHz,False,0,1,2,2,3.992,1.57,good,80,excellent,95,excellent,cellular,95,-74,-9,14.0,15,249,32CED3,4G,42690,32CE,19,3.99,3.48,increasing,medium,none,0.0,100.0,114.4,122.36,303.0,318.0,68.8,79.34,1,4.01,0.62,1.92,20.0,-2.0,100.0,100.0,100.0,none,False,excellent,True,20.0,-1.0,100.0,wifi+router,True,high_latency,0.7155
