incident_id,start_timestamp,end_timestamp,node_id,incident_type,severity,time_to_detect_sec,duration_sec,samples,max_score
INC_1774653561_low_throug,2026-03-28T00:19:21.436173,2026-03-28T00:19:21.436173,N1,low_throughput,critical,30,0,1,0.96
INC_1774653779_high_retra,2026-03-28T00:22:59.146425,2026-03-28T00:22:59.146425,N1,high_retransmission,medium,30,0,1,0.428
INC_1774653873_low_throug,2026-03-28T00:24:33.038473,2026-03-28T00:24:33.038473,N1,low_throughput,critical,15,0,1,0.98
INC_1774654153_high_retra,2026-03-28T00:29:13.617588,2026-03-28T00:29:13.617588,N1,high_retransmission,high,15,0,1,0.649
INC_1774654680_low_throug,2026-03-28T00:38:00.190919,2026-03-28T00:38:00.190919,N1,low_throughput,critical,30,0,1,0.96
INC_1774654990_low_throug,2026-03-28T00:43:10.018151,2026-03-28T00:43:10.018151,N1,low_throughput,critical,15,0,1,0.98
INC_1774655107_high_retra,2026-03-28T00:45:07.645904,2026-03-28T00:45:07.645904,N1,high_retransmission,low,15,0,1,0.263
INC_1774655543_high_retra,2026-03-28T00:52:23.991030,2026-03-28T00:52:23.991030,N1,high_retransmission,medium,15,0,1,0.4
INC_1774697525_high_retra,2026-03-28T12:32:05.284132,2026-03-28T12:32:05.284132,N1,high_retransmission,low,15,0,1,0.364
INC_1774697797_congestion,2026-03-28T12:36:37.150595,2026-03-28T12:36:37.150595,N1,congestion,critical,30,0,1,1.0
INC_1774697870_high_retra,2026-03-28T12:37:50.818729,2026-03-28T12:37:50.818729,N1,high_retransmission,critical,30,0,1,1.0
INC_1774697893_high_retra,2026-03-28T12:38:13.530438,2026-03-28T12:38:13.530438,N1,high_retransmission,low,30,0,1,0.351
INC_1774697967_high_laten,2026-03-28T12:39:27.140765,2026-03-28T12:39:07.419719,N1,high_latency,critical,30,-19,2,1.0
INC_1774698852_severe_pac,2026-03-28T12:54:12.810158,2026-03-28T12:54:12.810158,N1,severe_packet_loss,critical,30,0,1,1.0
INC_1774699038_high_laten,2026-03-28T12:57:18.974607,2026-03-28T12:59:41.116945,N1,high_latency,critical,30,142,3,1.0
INC_1774699396_high_laten,2026-03-28T13:03:16.996907,2026-03-28T13:03:16.996907,N1,high_latency,critical,30,0,1,1.0
